,ID,x,y,diameter,dx,dy,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,pin1,-0.0,0.0,6.0,,0.0,,,
1,pin2,-13.0,0.0,6.0,0.0,0.0,,,
2,calib1,-32.3,4.6,6.0,,,,,
3,calib2,-83.1,4.6,6.0,,,,,
4,A8,-101.6,93.5,9.525,12.7,12.7,,,
5,A7,-88.9,93.5,9.525,12.7,12.7,,,
6,A6,-76.2,93.5,9.525,12.7,12.7,12.7,76.2,
7,A5,-63.5,93.5,9.525,12.7,12.7,,,
8,A4,-50.8,93.5,9.525,12.7,12.7,,,
9,A3,-38.1,93.5,9.525,12.7,12.7,,,
10,A2,-25.4,93.5,9.525,12.7,12.7,,,
11,A1,-13.0,93.5,9.525,12.7,12.7,,,
12,B8,-101.6,80.8,9.525,12.7,12.7,,,
13,B7,-88.9,80.8,9.525,12.7,12.7,,,
14,B6,-76.2,80.8,9.525,12.7,12.7,,,
15,B5,-63.5,80.8,9.525,12.7,12.7,,,
16,B4,-50.8,80.8,9.525,12.7,12.7,,12.7,12.7
17,B3,-38.1,80.8,9.525,12.7,12.7,,,
18,B2,-25.4,80.8,9.525,12.7,12.7,,,
19,B1,-13.0,80.8,9.525,12.7,12.7,,,
20,C8,-101.6,68.1,9.525,12.7,12.7,,,
21,C7,-88.9,68.1,9.525,12.7,12.7,,,
22,C6,-76.2,68.1,9.525,12.7,12.7,,,
23,C5,-63.5,68.1,9.525,12.7,12.7,,,
24,C4,-50.8,68.1,9.525,12.7,12.7,,,
25,C3,-38.1,68.1,9.525,12.7,12.7,,,
26,C2,-25.4,68.1,9.525,12.7,12.7,,,
27,C1,-13.0,68.1,9.525,12.7,12.7,,,
28,D8,-101.6,55.4,9.525,12.7,12.7,,,
29,D7,-88.9,55.4,9.525,12.7,12.7,,,
30,D6,-76.2,55.4,9.525,12.7,12.7,,,
31,D5,-63.5,55.4,9.525,12.7,12.7,,,
32,D4,-50.8,55.4,9.525,12.7,12.7,,,
33,D3,-38.1,55.4,9.525,12.7,12.7,,,
34,D2,-25.4,55.4,9.525,12.7,12.7,,,
35,D1,-13.0,55.4,9.525,12.7,12.7,,,
36,E8,-101.6,42.7,9.525,12.7,12.7,,,
37,E7,-88.9,42.7,9.525,12.7,12.7,,,
38,E6,-76.2,42.7,9.525,12.7,12.7,,,
39,E5,-63.5,42.7,9.525,12.7,12.7,,,
40,E4,-50.8,42.7,9.525,12.7,12.7,,,
41,E3,-38.1,42.7,9.525,12.7,12.7,,,
42,E2,-25.4,42.7,9.525,12.7,12.7,,,
43,E1,-13.0,42.7,9.525,12.7,12.7,,,
44,F8,-101.6,30.0,9.525,12.7,12.7,,,
45,F7,-88.9,30.0,9.525,12.7,12.7,,,
46,F6,-76.2,30.0,9.525,12.7,12.7,,,
47,F5,-63.5,30.0,9.525,12.7,12.7,,,
48,F4,-50.8,30.0,9.525,12.7,12.7,,,
49,F3,-38.1,30.0,9.525,12.7,12.7,,,
50,F2,-25.4,30.0,9.525,12.7,12.7,,,
51,F1,-13.0,30.0,9.525,12.7,12.7,,,
